delocated_monad,10km_location,location_qualifier,easting_sw_delocated,northing_sw_delocated,easting_centroid_delocated,northing_centroid_delocated,plot_number,fizz_test,fizz_test_qualifier,soil_moisture_content,soil_moisture_content_qualifier,ACYC_CO2,ACYC_CO2_qualifier,AKGA_CO2,AKGA_CO2_qualifier,ARA_CO2,ARA_CO2_qualifier,ARG_CO2,ARG_CO2_qualifier,CIT_CO2,CIT_CO2_qualifier,CYS_CO2,CYS_CO2_qualifier,FRU_CO2,FRU_CO2_qualifier,GABA_CO2,GABA_CO2_qualifier,GLU_CO2,GLU_CO2_qualifier,LYS_CO2,LYS_CO2_qualifier,MAL_CO2,MAL_CO2_qualifier,NAGA_CO2,NAGA_CO2_qualifier,OXA_CO2,OXA_CO2_qualifier,PRO_CO2,PRO_CO2_qualifier,TRE_CO2,TRE_CO2_qualifier,WAT_CO2,WAT_CO2_qualifier
ST65-X-52,ST65,Sample location delocated to a 10km square (see metadata),360000,150000,365000,155000,3,1,,32.33,,1.98,,6.74,,3.83,,3.11,,4.3,,2.7,,5.74,,3.21,,6,,1.76,,5.12,,4.33,,2.7,,2.87,,4.49,,1.3,
ST65-X-52,ST65,Sample location delocated to a 10km square (see metadata),360000,150000,365000,155000,4,0,,29.26,,1.94,,9.35,,3.51,,0.83,,6.42,,3.37,,5.52,,2.21,,5.52,,1.77,,8.33,,3.75,,3.42,,3.48,,3.25,,0.82,
ST69-X-45,ST69,Sample location delocated to a 10km square (see metadata),360000,190000,365000,195000,2,0,,36.78,,2.82,,6.01,,5.57,,3.45,,4.76,,3.07,,7.35,,3.25,,7.14,,1.83,,6.74,,4.39,,3.55,,4.72,,6.29,,0.96,
ST69-X-45,ST69,Sample location delocated to a 10km square (see metadata),360000,190000,365000,195000,3,1,,40.38,,2.42,,3.98,,4.82,,3.53,,3.92,,3.1,,7,,3.37,,7.15,,1.57,,7.1,,4.38,,2.63,,4.83,,6.88,,1.6,
ST77-X-18,ST77,Sample location delocated to a 10km square (see metadata),370000,170000,375000,175000,1,4,,24.23,,1.22,,3.99,,3.12,,1.17,,3.7,,1,,3.58,,1.45,,5,,1.31,,4.55,,2.52,,1.04,,1.31,,2.9,,0.61,
ST77-X-18,ST77,Sample location delocated to a 10km square (see metadata),370000,170000,375000,175000,3,4,,30.53,,1.69,,5.92,,4.3,,1.35,,5.43,,1.66,,5.4,,1.74,,5.72,,1.49,,5.43,,2.72,,1.45,,2.44,,5.31,,0.86,
ST77-X-18,ST77,Sample location delocated to a 10km square (see metadata),370000,170000,375000,175000,4,4,,24.61,,1.15,,3.89,,3.01,,1.07,,3.76,,1.38,,4.4,,1.26,,4.73,,1.15,,4.94,,2.11,,1.02,,2.01,,3.72,,0.61,
ST77-X-79,ST77,Sample location delocated to a 10km square (see metadata),370000,170000,375000,175000,3,3,,40.68,,1.88,,16.23,,4.73,,1,,12.78,,4.02,,6.62,,2.44,,7.55,,1.97,,12.58,,4.47,,5.17,,2.55,,5.49,,0.95,
ST77-X-79,ST77,Sample location delocated to a 10km square (see metadata),370000,170000,375000,175000,6,4,,41.05,,1.66,,7.93,,6.65,,1.14,,6.93,,2.18,,8.31,,1.99,,8.1,,2.06,,9.18,,3.83,,1.62,,2.34,,8.46,,0.77,
ST83-X-06,ST83,Sample location delocated to a 10km square (see metadata),380000,130000,385000,135000,1,0,,24.63,,0.83,,2.52,,1.71,,1.4,,1.59,,1.6,,3.23,,1.32,,3.58,,0.73,,3.63,,2.14,,1.12,,1.74,,2.3,,0.48,
ST83-X-06,ST83,Sample location delocated to a 10km square (see metadata),380000,130000,385000,135000,2,0,,34.35,,2.3,,5.81,,4.61,,2.05,,4.03,,3.23,,6.77,,2.67,,7.38,,1.4,,7.07,,5,,1.66,,5.37,,5.07,,0.77,
ST83-X-06,ST83,Sample location delocated to a 10km square (see metadata),380000,130000,385000,135000,3,0,,29.42,,1.19,,3.19,,2.64,,1.91,,2.16,,2.28,,4.34,,1.96,,5.17,,1.09,,3.95,,3.87,,1.43,,2.36,,3.92,,0.75,
ST83-X-06,ST83,Sample location delocated to a 10km square (see metadata),380000,130000,385000,135000,4,0,,35.51,,2.12,,4.86,,4.72,,2.09,,3.32,,3.09,,6.66,,2.74,,7.29,,1.65,,6.94,,4.65,,2.05,,4.29,,6.06,,0.94,
ST83-X-06,ST83,Sample location delocated to a 10km square (see metadata),380000,130000,385000,135000,5,0,,36.35,,1.65,,5.35,,4.47,,2.37,,4.03,,2.82,,5.49,,2.83,,6.65,,1.52,,8.18,,5.09,,3.29,,3.24,,5.37,,1.06,
ST83-X-06,ST83,Sample location delocated to a 10km square (see metadata),380000,130000,385000,135000,6,0,,32.89,,1.12,,3.6,,3.38,,2.04,,2.45,,2.17,,4.64,,2.48,,5.26,,1.34,,6.28,,3.39,,2.99,,3.03,,4.45,,0.67,
