delocated_monad,10km_location,location_qualifier,easting_sw_delocated,northing_sw_delocated,easting_centroid_delocated,northing_centroid_delocated,plot_number,fizz_test,fizz_test_qualifier,soil_moisture_content,soil_moisture_content_qualifier,ACYC_SIR,ACYC_SIR_qualifier,AKGA_SIR,AKGA_SIR_qualifier,ARA_SIR,ARA_SIR_qualifier,ARG_SIR,ARG_SIR_qualifier,CIT_SIR,CIT_SIR_qualifier,CYS_SIR,CYS_SIR_qualifier,FRU_SIR,FRU_SIR_qualifier,GABA_SIR,GABA_SIR_qualifier,GLU_SIR,GLU_SIR_qualifier,LYS_SIR,LYS_SIR_qualifier,MAL_SIR,MAL_SIR_qualifier,NAGA_SIR,NAGA_SIR_qualifier,OXA_SIR,OXA_SIR_qualifier,PRO_SIR,PRO_SIR_qualifier,TRE_SIR,TRE_SIR_qualifier
SS91-X-02,SS91,Sample location delocated to a 10km square (see metadata),290000,110000,295000,115000,3,1,,42.44,,1.09,,8.47,,4.48,,2.66,,4.64,,2.94,,6.7,,2.05,,6.07,,0.98,,7.84,,4.11,,2.27,,4.09,,4.98,
SS91-X-02,SS91,Sample location delocated to a 10km square (see metadata),290000,110000,295000,115000,4,0,,28.91,,0.86,,7.97,,2.75,,1.18,,3.74,,1.69,,4.52,,1.26,,4.72,,0.5,,4.36,,2.44,,1.07,,2.14,,2.91,
SS91-X-02,SS91,Sample location delocated to a 10km square (see metadata),290000,110000,295000,115000,5,0,,32.83,,0.29,,6.2,,2.54,,1.25,,2.91,,1.53,,3.75,,1.63,,3.87,,0.56,,4.88,,2.69,,2.12,,1.84,,2.8,
SS92-X-58,SS92,Sample location delocated to a 10km square (see metadata),290000,120000,295000,125000,1,0,,41.94,,0.64,,2.65,,3.95,,1.47,,2.5,,1.51,,4.19,,1.66,,4.19,,0.56,,3.21,,1.59,,2.79,,2.25,,3.63,
SS92-X-58,SS92,Sample location delocated to a 10km square (see metadata),290000,120000,295000,125000,2,0,,32.77,,0.84,,7.45,,2.67,,0.16,,7.56,,2.1,,3.63,,1.09,,4.2,,1.11,,6.42,,2.3,,2.57,,2.03,,2.37,
ST02-X-95,ST02,Sample location delocated to a 10km square (see metadata),300000,120000,305000,125000,2,0,,34.69,,1.28,,16.18,,4.51,,2.35,,6.69,,2.25,,7.14,,2.41,,7.17,,1.18,,6.37,,3.87,,2.32,,3.42,,5.58,
ST02-X-95,ST02,Sample location delocated to a 10km square (see metadata),300000,120000,305000,125000,3,0,,42.84,,1.58,,9.27,,5.39,,4,,5.26,,2.38,,7.89,,3.28,,9.38,,1.31,,8.5,,4.65,,2.31,,5.26,,5.28,
ST10-X-03,ST10,Sample location delocated to a 10km square (see metadata),310000,100000,315000,105000,1,0,,35.89,,0.53,,8.36,,4.07,,3.03,,5.06,,1.84,,7.01,,2.39,,7.1,,0.62,,6.05,,3.76,,2.2,,3.43,,4.93,
ST10-X-03,ST10,Sample location delocated to a 10km square (see metadata),310000,100000,315000,105000,2,1,,38.8,,0.59,,7.39,,3.71,,2.28,,3.35,,1.36,,5.43,,1.91,,5.46,,0.81,,6.59,,3.66,,1.59,,2.64,,4.86,
ST10-X-73,ST10,Sample location delocated to a 10km square (see metadata),310000,100000,315000,105000,1,0,,27.64,,0.27,,5.12,,1.63,,1.53,,2.66,,0.76,,3.41,,1.55,,3.49,,0.41,,2.93,,2.05,,1.23,,1.34,,2.86,
ST10-X-73,ST10,Sample location delocated to a 10km square (see metadata),310000,100000,315000,105000,2,1,,27.01,,0.8,,7.38,,2.25,,2.48,,4.54,,1.37,,4.89,,1.86,,5.47,,0.38,,4.21,,3.89,,1.84,,2.84,,4.19,
ST10-X-73,ST10,Sample location delocated to a 10km square (see metadata),310000,100000,315000,105000,3,0,,26.53,,0.94,,5.75,,2.83,,1.7,,3.41,,1.37,,4.89,,1.54,,4.78,,0.53,,3.84,,3.8,,1.37,,2.33,,3.65,
ST10-X-73,ST10,Sample location delocated to a 10km square (see metadata),310000,100000,315000,105000,4,0,,21.89,,0.49,,8.86,,2.33,,1.28,,5.59,,0.85,,2.92,,1.05,,3.65,,0.41,,3.95,,2.73,,1.64,,1.81,,2.48,
ST32-X-87,ST32,Sample location delocated to a 10km square (see metadata),330000,120000,335000,125000,5,0,,24.18,,0.68,,3.95,,2.44,,1,,2.23,,0.9,,3.45,,1.39,,3.17,,0.43,,2.77,,2.21,,1.23,,1.44,,2.47,
ST56-X-83,ST56,Sample location delocated to a 10km square (see metadata),350000,160000,355000,165000,2,1,,26.53,,0.64,,3.02,,1.64,,0.79,,2.23,,1.16,,2.93,,0.82,,3.33,,0.38,,2.55,,2.13,,0.5,,1.41,,2.39,
ST56-X-83,ST56,Sample location delocated to a 10km square (see metadata),350000,160000,355000,165000,5,0,,14.68,,1.19,,4.88,,2.96,,1.64,,2.57,,1.45,,4.41,,1.33,,4.73,,0.44,,4.35,,2.85,,0.68,,3.36,,3.56,
ST58-X-97,ST58,Sample location delocated to a 10km square (see metadata),350000,180000,355000,185000,1,1,,32.45,,1.61,,7.43,,4.82,,2.34,,4.94,,1.85,,6.76,,2.15,,6.54,,0.92,,5.58,,4.02,,2.13,,3.9,,5.64,
